"fund_name","company_name"
"Baroda BNP Paridas LargeCap Fund","ICICI Bank Ltd."
"Baroda BNP Paridas LargeCap Fund","State Bank of India"
"Baroda BNP Paridas LargeCap Fund","ICICI Bank Ltd."
"Baroda BNP Paridas LargeCap Fund","GAIL (India) Ltd."
"Baroda BNP Paridas LargeCap Fund","ICICI Bank Ltd."
"Baroda BNP Paridas LargeCap Fund","Kotak Mahindra Bank Ltd."
"Baroda BNP Paridas LargeCap Fund","SBI Life Insurance Co. Ltd."
"Baroda BNP Paridas LargeCap Fund","Tata Consultancy Services Ltd."
"Baroda BNP Paridas LargeCap Fund","Power Grid Corporation of India Ltd."
"Baroda BNP Paridas LargeCap Fund","Infosys Ltd."
"Baroda BNP Paridas LargeCap Fund","Oil India Ltd."
"Baroda BNP Paridas LargeCap Fund","HCL Technologies Ltd."
"Baroda BNP Paridas LargeCap Fund","NHPC Ltd."
"Baroda BNP Paridas LargeCap Fund","Reliance Industries Ltd."
"Baroda BNP Paridas LargeCap Fund","Ambuja Cements Ltd."
"Baroda BNP Paridas LargeCap Fund","Bharat Petroleum Corporation Ltd."
"Baroda BNP Paridas LargeCap Fund","Tata Motors Ltd."
"Baroda BNP Paridas LargeCap Fund","Tata Motors Ltd."
"Baroda BNP Paridas LargeCap Fund","Bharat Heavy Electricals Ltd."
"Baroda BNP Paridas LargeCap Fund","Hero MotoCorp Ltd."
"Baroda BNP Paridas LargeCap Fund","Maruti Suzuki India Ltd."
"Baroda BNP Paridas LargeCap Fund","Bosch Ltd."
"Baroda BNP Paridas LargeCap Fund","Avenue Supermarts Ltd."
"Baroda BNP Paridas LargeCap Fund","Coal India Ltd."
"Baroda BNP Paridas LargeCap Fund","Escorts Kubota Ltd."
"Baroda BNP Paridas LargeCap Fund","Grasim Industries Ltd."
"Baroda BNP Paridas LargeCap Fund","Hitachi Energy India Ltd."
"Baroda BNP Paridas LargeCap Fund","Bajaj Finance Ltd."
"Baroda BNP Paridas LargeCap Fund","Honeywell Automation India Ltd."
"Baroda BNP Paridas LargeCap Fund","Bharat Electronics Ltd."
"Baroda BNP Paridas LargeCap Fund","Jio Financial Services Ltd."
"Baroda BNP Paridas LargeCap Fund","Bharti Airtel Ltd."
"Baroda BNP Paridas LargeCap Fund","Nestle India Ltd."
"Baroda BNP Paridas LargeCap Fund","IndusInd Bank Ltd."
"Baroda BNP Paridas LargeCap Fund","Cholamandalam Investment & Finance Co Ltd."
"Baroda BNP Paridas LargeCap Fund","Cipla Ltd."
"Baroda BNP Paridas LargeCap Fund","Divi's Laboratories Ltd."
"Baroda BNP Paridas LargeCap Fund","Hindustan Aeronautics Ltd."
"Baroda BNP Paridas LargeCap Fund","Hindustan Unilever Ltd."
"Baroda BNP Paridas LargeCap Fund","ITC Ltd."
"Baroda BNP Paridas LargeCap Fund","Larsen & Toubro Ltd."
"Baroda BNP Paridas LargeCap Fund","NTPC Ltd."
"Baroda BNP Paridas LargeCap Fund","Punjab National Bank"
"Baroda BNP Paridas LargeCap Fund","Ultratech Cement Ltd."
"Baroda BNP Paridas LargeCap Fund","United Spirits Ltd."
"Baroda BNP Paridas LargeCap Fund","Zomato Ltd."
"Baroda BNP Paridas LargeCap Fund","Trent Ltd."
"Baroda BNP Paridas LargeCap Fund","The Indian Hotels Company Ltd."
"Baroda BNP Paridas LargeCap Fund","Tata Steel Ltd."
"Baroda BNP Paridas LargeCap Fund","Sun Pharmaceuticals Industries Ltd."
"Baroda BNP Paridas LargeCap Fund","HDFC Bank Ltd."
"Canara Robeco Bluechip Equity Fund","Dr. Reddy's Laboratories Ltd."
"Canara Robeco Bluechip Equity Fund","State Bank of India"
"Canara Robeco Bluechip Equity Fund","Kotak Mahindra Bank Ltd."
"Canara Robeco Bluechip Equity Fund","Avenue Supermarts Ltd."
"Canara Robeco Bluechip Equity Fund","Tata Consultancy Services Ltd."
"Canara Robeco Bluechip Equity Fund","Infosys Ltd."
"Canara Robeco Bluechip Equity Fund","HCL Technologies Ltd."
"Canara Robeco Bluechip Equity Fund","Reliance Industries Ltd."
"Canara Robeco Bluechip Equity Fund","Tata Motors Ltd."
"Canara Robeco Bluechip Equity Fund","Maruti Suzuki India Ltd."
"Canara Robeco Bluechip Equity Fund","Axis Bank Ltd."
"Canara Robeco Bluechip Equity Fund","ABB India Ltd."
"Canara Robeco Bluechip Equity Fund","Abbott India Ltd."
"Canara Robeco Bluechip Equity Fund","Bajaj Auto Ltd."
"Canara Robeco Bluechip Equity Fund","Bajaj Finance Ltd."
"Canara Robeco Bluechip Equity Fund","Bharat Electronics Ltd."
"Canara Robeco Bluechip Equity Fund","Bharti Airtel Ltd."
"Canara Robeco Bluechip Equity Fund","CG Power and Industrial Solutions Ltd."
"Canara Robeco Bluechip Equity Fund","Cholamandalam Investment & Finance Co Ltd."
"Canara Robeco Bluechip Equity Fund","Cipla Ltd."
"Canara Robeco Bluechip Equity Fund","Coforge Ltd."
"Canara Robeco Bluechip Equity Fund","Divi's Laboratories Ltd."
"Canara Robeco Bluechip Equity Fund","Hindustan Aeronautics Ltd."
"Canara Robeco Bluechip Equity Fund","Hindustan Unilever Ltd."
"Canara Robeco Bluechip Equity Fund","ITC Ltd."
"Canara Robeco Bluechip Equity Fund","Larsen & Toubro Ltd."
"Canara Robeco Bluechip Equity Fund","LIC Housing Finance Ltd."
"Canara Robeco Bluechip Equity Fund","Mahindra & Mahindra Ltd."
"Canara Robeco Bluechip Equity Fund","Mankind Pharma Ltd."
"Canara Robeco Bluechip Equity Fund","NTPC Ltd."
"Canara Robeco Bluechip Equity Fund","Power Finance Corporation Ltd."
"Canara Robeco Bluechip Equity Fund","REC Ltd."
"Canara Robeco Bluechip Equity Fund","Siemens Ltd."
"Canara Robeco Bluechip Equity Fund","Tech Mahindra Ltd."
"Canara Robeco Bluechip Equity Fund","Torrent Pharmaceuticals Ltd."
"Canara Robeco Bluechip Equity Fund","Zomato Ltd."
"Canara Robeco Bluechip Equity Fund","Hindalco Industries Ltd."
"Canara Robeco Bluechip Equity Fund","Indian Hotels Co Ltd."
"Canara Robeco Bluechip Equity Fund","Info Edge (India) Ltd."
"Canara Robeco Bluechip Equity Fund","Interglobe Aviation Ltd."
"Canara Robeco Bluechip Equity Fund","Max Healthcare Institute Ltd."
"Canara Robeco Bluechip Equity Fund","Page Industries Ltd."
"Canara Robeco Bluechip Equity Fund","PI Industries Ltd."
"Canara Robeco Bluechip Equity Fund","Samvardhana Motherson International Ltd."
"Canara Robeco Bluechip Equity Fund","Sona Blw Precision Forgings Ltd."
"Canara Robeco Bluechip Equity Fund","SRF Ltd."
"Canara Robeco Bluechip Equity Fund","Tata Consumer Products Ltd."
"Canara Robeco Bluechip Equity Fund","Titan Co Ltd."
"Canara Robeco Bluechip Equity Fund","Ultratech Cement Ltd."
"Canara Robeco Bluechip Equity Fund","United Spirits Ltd."
"Canara Robeco Bluechip Equity Fund","HDFC Bank Ltd."
"Canara Robeco Bluechip Equity Fund","ICICI Bank Ltd."
"Canara Robeco Bluechip Equity Fund","Apollo Hospitals Enterprise Ltd."
"Canara Robeco Bluechip Equity Fund","Sun Pharmaceuticals Industries Ltd."
"Canara Robeco Bluechip Equity Fund","SBI Life Insurance Co. Ltd."
"ICICI Prudential Bluechip Fund","Tech Mahindra Ltd."
"ICICI Prudential Bluechip Fund","JM Financial Ltd."
"ICICI Prudential Bluechip Fund","Syngene International Ltd."
"ICICI Prudential Bluechip Fund","Zee Entertainment Enterprises Ltd."
"ICICI Prudential Bluechip Fund","Gujarat Pipavav Port Ltd."
"ICICI Prudential Bluechip Fund","Gillete India Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Unilever Ltd."
"ICICI Prudential Bluechip Fund","Dabur India Ltd."
"ICICI Prudential Bluechip Fund","Birla Corp Ltd."
"ICICI Prudential Bluechip Fund","Alkem Laboratories Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","Tata Consultancy Services Ltd."
"ICICI Prudential Bluechip Fund","Tata Motors Ltd."
"ICICI Prudential Bluechip Fund","Maruti Suzuki India Ltd."
"ICICI Prudential Bluechip Fund","TVS Motor Company Ltd."
"ICICI Prudential Bluechip Fund","Ultratech Cement Ltd."
"ICICI Prudential Bluechip Fund","Kotak Mahindra Bank Ltd."
"ICICI Prudential Bluechip Fund","Bharat Petroleum Corporation Ltd."
"ICICI Prudential Bluechip Fund","Larsen & Toubro Ltd."
"ICICI Prudential Bluechip Fund","Axis Bank Ltd."
"ICICI Prudential Bluechip Fund","HCL Technologies Ltd."
"ICICI Prudential Bluechip Fund","Bharti Airtel Ltd."
"ICICI Prudential Bluechip Fund","ITC Ltd."
"ICICI Prudential Bluechip Fund","NTPC Ltd."
"ICICI Prudential Bluechip Fund","Infosys Ltd."
"ICICI Prudential Bluechip Fund","Tata Motors Ltd."
"ICICI Prudential Bluechip Fund","Interglobe Aviation Ltd."
"ICICI Prudential Bluechip Fund","Oil & Natural Gas Corporation Ltd."
"ICICI Prudential Bluechip Fund","Hindalco Industries Ltd."
"ICICI Prudential Bluechip Fund","DLF Ltd."
"ICICI Prudential Bluechip Fund","Coal India Ltd."
"ICICI Prudential Bluechip Fund","Reliance Industries Ltd."
"ICICI Prudential Bluechip Fund","HDFC Bank Ltd."
"ICICI Prudential Bluechip Fund","Lupin Ltd."
"ICICI Prudential Bluechip Fund","Avenue Supermarts Ltd."
"ICICI Prudential Bluechip Fund","Siemens Ltd."
"ICICI Prudential Bluechip Fund","United Breweries Ltd."
"ICICI Prudential Bluechip Fund","United Spirits Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","Sun Pharmaceuticals Industries Ltd."
"ICICI Prudential Bluechip Fund","Hero MotoCorp Ltd."
"ICICI Prudential Bluechip Fund","Power Grid Corporation of India Ltd."
"ICICI Prudential Bluechip Fund","Nifty 50 Index"
"ICICI Prudential Bluechip Fund","SBI Life Insurance Co. Ltd."
"ICICI Prudential Bluechip Fund","Procter & Gamble Hygiene and Health Care Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Aeronautics Ltd."
"ICICI Prudential Bluechip Fund","Mahindra & Mahindra Ltd."
"ICICI Prudential Bluechip Fund","Cummins India Ltd."
"ICICI Prudential Bluechip Fund","Grasim Industries Ltd."
"ICICI Prudential Bluechip Fund","Aurobindo Pharma Ltd."
"ICICI Prudential Bluechip Fund","Bajaj Auto Ltd."
"ICICI Prudential Bluechip Fund","Trent Ltd."
"ICICI Prudential Bluechip Fund","Zydus Lifesciences Ltd."
"ICICI Prudential Bluechip Fund","Vedanta Ltd."
"ICICI Prudential Bluechip Fund","Wipro Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Petroleum Corporation Ltd."
"ICICI Prudential Bluechip Fund","Dr. Reddy's Laboratories Ltd."
"ICICI Prudential Bluechip Fund","GAIL (India) Ltd."
"ICICI Prudential Bluechip Fund","Shree Cement Ltd."
"ICICI Prudential Bluechip Fund","Asian Paints Ltd."
"ICICI Prudential Bluechip Fund","Titan Co Ltd."
"ICICI Prudential Bluechip Fund","Mankind Pharma Ltd."
"ICICI Prudential Bluechip Fund","Muthoot Finance Ltd."
"ICICI Prudential Bluechip Fund","Cipla Ltd."
"Nippon India LargeCap Fund","SBI Cards and Payment Services Limited"
"Nippon India LargeCap Fund","HDFC Asset Management Co. Ltd."
"Nippon India LargeCap Fund","Hindustan Unilever Ltd."
"Nippon India LargeCap Fund","ICICI Bank Ltd."
"Nippon India LargeCap Fund","Infosys Ltd."
"Nippon India LargeCap Fund","ITC Ltd."
"Nippon India LargeCap Fund","Larsen & Toubro Ltd."
"Nippon India LargeCap Fund","Mahindra & Mahindra Ltd."
"Nippon India LargeCap Fund","Maruti Suzuki India Ltd."
"Nippon India LargeCap Fund","Reliance Industries Ltd."
"Nippon India LargeCap Fund","SBI Life Insurance Co. Ltd."
"Nippon India LargeCap Fund","Siemens Ltd."
"Nippon India LargeCap Fund","Tata Power Co. Ltd."
"Nippon India LargeCap Fund","Axis Bank Ltd."
"Nippon India LargeCap Fund","Zomato Ltd."
"Nippon India LargeCap Fund","The Indian Hotels Company Ltd."
"Nippon India LargeCap Fund","Tata Steel Ltd."
"Nippon India LargeCap Fund","Tata Motors Ltd."
"Nippon India LargeCap Fund","ABB India Ltd."
"Nippon India LargeCap Fund","NTPC Ltd."
"Nippon India LargeCap Fund","HDFC Bank Ltd."
"Nippon India LargeCap Fund","Bajaj Finance Ltd."
"Nippon India LargeCap Fund","Chalet Hotels Ltd."
"Nippon India LargeCap Fund","EIH Ltd."
"Nippon India LargeCap Fund","GE T&D India Ltd."
"Nippon India LargeCap Fund","State Bank of India"
"Nippon India LargeCap Fund","HCL Technologies Ltd."
"Quant Focused Fund","Reliance Industries Ltd."
"Quant Focused Fund","United Spirits Ltd."
"Quant Focused Fund","HDFC Life Insurance Co Ltd."
"Quant Focused Fund","HDFC Bank Ltd."
"Quant Focused Fund","Hindustan Unilever Ltd."
"Quant Focused Fund","Bajaj Finance Ltd."
"Quant Focused Fund","Marico Ltd."
"Quant Focused Fund","Asian Paints Ltd."
"Quant Focused Fund","Dr. Reddy's Laboratories Ltd."
"Quant Focused Fund","Tata Power Co. Ltd."
"Quant Focused Fund","Adani Power Ltd."
"Quant Focused Fund","Jio Financial Services Ltd."
"Quant Focused Fund","Life Insurance Corporation of India"
"Quant Focused Fund","Britannia Industries Ltd."
"Quant Focused Fund","Tata Consultancy Services Ltd."
"Quant Focused Fund","Adani Green Energy Ltd."
"Quant Focused Fund","HCL Technologies Ltd."
"Quant Focused Fund","Kotak Mahindra Bank Ltd."
